ID	adj.P.Val	logFC	GI	Gene.symbol	Gene.ID	GI.1	GenBank.Accession
ILMN_1791759	0.00000965	6.1189784	323422857	CXCL10	3627	323422857	NM_001565
ILMN_1793729	0.00538093	-1.7099253	153251858	C15orf39	56905	153251858	NM_015492
ILMN_1892403	0.01913868	-2.1734466	21177747			21177747	BQ438671
ILMN_2356895	0.02067628	2.2065396	332000003	MRPL42	28977	332000003	NM_172177
ILMN_1695893	0.02538403	-2.2572611	NA			NA	
ILMN_1802906	0.03243834	3.4051087	NA			NA	
ILMN_1674063	0.03700651	2.9541394	74229018	OAS2	4939	74229018	NM_016817
ILMN_1724230	0.04481847	2.4627716	NA			NA	
ILMN_1691570	0.04535496	1.8539936	645065979	METTL5	29081	645065979	NM_014168
ILMN_2400512	0.04611078	-2.2445526	574279850	PRKCSH	5589	574279850	NM_001001329
ILMN_1812031	0.04948285	-2.5608474	93141030	PALM	5064	93141030	NM_002579
ILMN_2228710	0.05001046	2.0531975	313851091	PDCD5	9141	313851091	NM_004708
ILMN_2127477	0.06163706	-1.9456592	260166681	G6PC3	92579	260166681	NM_138387
ILMN_1766851	0.06947012	2.5784641	375065836	TMEM126B	55863	375065836	NM_018480
ILMN_1734696	0.07204379	2.2885455	73695875	FRG1	2483	73695875	NM_004477
ILMN_1668748	0.07670255	-1.4376299	646227320	MED15	51586	646227320	NM_015889
ILMN_1785095	0.08021305	-1.6353763	585866351	ATP6V0E2	155066	585866351	NM_145230
ILMN_2232368	0.08810443	-1.6876812	41327716	PCIF1	63935	41327716	NM_022104
ILMN_1741214	0.09078947	-2.0819386	219879831	NXPH4	11247	219879831	NM_007224
ILMN_1763634	0.09343291	-1.5473965	112789551	PEX14	5195	112789551	NM_004565
ILMN_1653205	0.09746617	3.3026917	NA			NA	
ILMN_1668185	0.09916487	-1.4318236	744066813	ZNF282	8427	744066813	NM_003575
ILMN_2382558	0.10383903	2.0754416	196162706	SERF1A	8293	196162706	NM_021967
ILMN_2388547	0.10914234	3.4433968	388240825	EPSTI1	94240	388240825	NM_033255
ILMN_1657550	0.11304857	-1.7265704	737676170	MVD	4597	737676170	NM_002461
ILMN_1793508	0.11419417	1.8959411	540344519	YAE1D1	57002	540344519	NM_020192
ILMN_1749432	0.12273659	1.7157945	157743250	MRPL32	64983	157743250	NM_031903
ILMN_1807689	0.12493341	-1.8493666	116812643	PKNOX2	63876	116812643	NM_022062
ILMN_2344373	0.12717996	-1.6517422	312261257	MVP	9961	312261257	NM_017458
ILMN_2387214	0.12735467	-2.5697473	93141030	PALM	5064	93141030	NM_002579
ILMN_2077094	0.13638994	-1.3246262	429903861	VPS51	738	429903861	NM_013265
ILMN_1718271	0.13643222	2.6625908	261878549	MTIF3	219402	261878549	NM_152912
ILMN_1665319	0.15050264	-1.8999807	183979983	NRTN	4902	183979983	NM_004558
ILMN_1761722	0.15060048	-1.7731741	110681707	ZNF579	163033	110681707	NM_152600
ILMN_1782417	0.16126836	1.6485379	NA			NA	
ILMN_1775587	0.16167909	3.4380351	344313159	STX19	415117	344313159	NM_001001850
ILMN_1671158	0.16181913	2.0371773	312261209	MRPL13	28998	312261209	NM_014078
ILMN_1806275	0.16448564	-1.1470656	1043916012	ADAT3	113179	1043916012	NM_138422
ILMN_1751171	0.16690564	-1.6407752	731441390	IRF2BP1	26145	731441390	NM_015649
ILMN_1751258	0.17352931	1.5624725	316659406	NDUFA4	4697	316659406	NM_002489
ILMN_2399328	0.18201959	-1.2663974	862669350	NELFB	25920	862669350	NM_015456
ILMN_2192032	0.18898253	1.6382249	323510694	SRP19	6728	323510694	NM_003135
ILMN_2157240	0.18919338	3.1229926	209915559	MNS1	55329	209915559	NM_018365
ILMN_1739770	0.19141681	1.9499913	155030186	MED7	9443	155030186	NM_004270
ILMN_1659206	0.1978142	-1.2214947	300388162	RARA	5914	300388162	NM_001024809
ILMN_1788250	0.19837931	-1.7884948	538918602	LDOC1	23641	538918602	NM_012317
ILMN_1727248	0.20454246	-1.4089709	149999379	INF2	64423	149999379	NM_022489
ILMN_2192620	0.20823136	-1.2531839	1045961252	DCAF15	90379	1045961252	NM_138353
ILMN_1690307	0.21138129	2.1322438	205277452	TPRKB	51002	205277452	NM_016058
ILMN_1796336	0.2164687	-1.940889	816197655	MAP1S	55201	816197655	NM_018174
ILMN_1736700	0.21710978	-1.6879018	342187194	ALDOA	226	342187194	NM_184041
ILMN_1716279	0.22494745	2.2194796	71061467	CENPE	1062	71061467	NM_001813
ILMN_1705397	0.22541062	-1.8611035	315630394	PDK2	5164	315630394	NM_002611
ILMN_2089340	0.22941905	-1.8806703	118200332	FAM127B	26071	118200332	NM_001078172
ILMN_2134110	0.24183389	1.4254071	46370091	SELK	58515	46370091	NM_021237
ILMN_1703891	0.24271599	2.0870641	139394667	TBC1D9	23158	139394667	NM_015130
ILMN_1703855	0.24302376	1.9914736	194097387	SERPINB3	6317	194097387	NM_006919
ILMN_1664833	0.25138614	1.776253	169658385	MRPL50	54534	169658385	NM_019051
ILMN_1653599	0.25456985	-1.3019726	50345990	ATP5D	513	50345990	NM_001001975
ILMN_1777794	0.26157524	-1.4286009	574279850	PRKCSH	5589	574279850	NM_001001329
ILMN_1664167	0.26545709	2.9494026	574282417	RPF2	84154	574282417	NM_032194
ILMN_1664511	0.27708294	3.2273582	215820615	NDC80	10403	215820615	NM_006101
ILMN_2072296	0.28263065	1.6218406	756761811	CKS2	1164	756761811	NM_001827
ILMN_1758337	0.29047499	-1.3629605	197383771	ZNF213	7760	197383771	NM_004220
ILMN_1733318	0.29302833	3.757897	557129031	TEX9	374618	557129031	NM_198524
