ID	adj.P.Val	logFC	GI	Gene.symbol	Gene.ID	GI.1	GenBank.Accession
ILMN_1806106	0.29977002	2.2712459	45593129	GNL3	26354	45593129	NM_014366
ILMN_1654893	0.30472114	-1.6182912	1003088832	SCAMP2	10066	1003088832	NM_005697
ILMN_2162328	0.30528949	1.2791593	164663900	PTS	5805	164663900	NM_000317
ILMN_2316806	0.30670597	2.1431971	557786186	RWDD1	51389	557786186	NM_001007464
ILMN_1686920	0.30803049	2.3298117	815930040	CCDC58	131076	815930040	NM_001017928
ILMN_1697460	0.30978625	-2.1122788	1043916019	REEP6	92840	1043916019	NM_138393
ILMN_1680314	0.31002181	1.4362066	349732252	TXN	7295	349732252	NM_003329
ILMN_1736575	0.31145571	-1.3247616	14971416	TRIM28	10155	14971416	NM_005762
ILMN_1733851	0.32296863	-1.5452361	182507164	DACT3	147906	182507164	NM_145056
ILMN_1787885	0.32922062	-1.5202166	118026926	NUDT18	79873	118026926	NM_024815
ILMN_1692948	0.33047339	1.8769284	554790308	CCDC90B	60492	554790308	NM_021825
ILMN_1734742	0.33063726	-1.3108784	669033302	ARHGDIA	396	669033302	NM_004309
ILMN_1732375	0.332255	-1.7712816	740922493	EEFSEC	60678	740922493	NM_021937
ILMN_2098743	0.33245536	2.4857971	231567103	ACOT13	55856	231567103	NM_018473
ILMN_1805863	0.33562619	-1.71474	255759953	WDR81	124997	255759953	NM_152348
ILMN_1702541	0.3483396	3.2028749	387762688	NSRP1	84081	387762688	NM_032141
ILMN_1742432	0.35291331	-1.1402295	862669350	NELFB	25920	862669350	NM_015456
ILMN_2329165	0.35763193	-1.1886253	124494237	MYO1C	4641	124494237	NM_001080779
ILMN_1791067	0.35852482	-1.2190962	66932998	TESK1	7016	66932998	NM_006285
ILMN_1691702	0.36838721	-1.3963361	116256459	ZNF775	285971	116256459	NM_173680
ILMN_1810856	0.36854938	-1.3717429	62750348	HDAC5	10014	62750348	NM_001015053
ILMN_1688565	0.3713831	-1.5251161	46361969	ZNF580	51157	46361969	NM_207115
ILMN_1682098	0.37221826	2.1077416	156713440	PSMA4	5685	156713440	NM_002789
ILMN_2198376	0.3734797	2.3427922	156713440	PSMA4	5685	156713440	NM_002789
ILMN_1808712	0.37407023	-1.1540299	333440438	RNF40	9810	333440438	NM_014771
ILMN_2184049	0.37544097	2.8127011	18105038	COX7B	1349	18105038	NM_001866
ILMN_2145518	0.37633001	2.3450393	375065836	TMEM126B	55863	375065836	NM_018480
ILMN_1789338	0.37955458	-1.8421293	155030229	SORBS3	10174	155030229	NM_005775
ILMN_1670456	0.3890554	-1.0598304	981220790	RBM42	79171	981220790	NM_024321
ILMN_1764609	0.39150601	-1.5072586	148839375	PWWP2B	170394	148839375	NM_138499
ILMN_1707783	0.39821012	1.3679569	1042998840	TMA7	51372	1042998840	NM_015933
ILMN_1723971	0.40180972	-1.5910816	NA			NA	
ILMN_2147517	0.40718751	2.1319933	221316611	CD58	965	221316611	NM_001779
ILMN_1755926	0.41562568	1.6049779	544063483	DBI	1622	544063483	NM_020548
ILMN_1815083	0.41712778	-1.1817292	342672054	NELFA	7469	342672054	NM_005663
ILMN_1651788	0.43279712	-1.1466535	56237030	MAP3K11	4296	56237030	NM_002419
ILMN_1713482	0.43873279	2.625505	148833501	CWC15	51503	148833501	NM_016403
ILMN_1681081	0.44888714	-1.6895792	68835055	AGPAT2	10555	68835055	NM_006412
ILMN_1735347	0.45193019	1.9966508	188035927	MCEE	84693	188035927	NM_032601
ILMN_1676799	0.48200014	1.7425663	50726967	MFAP1	4236	50726967	NM_005926
ILMN_1803277	0.48597522	-1.2815433	312261256	MVP	9961	312261256	NM_005115
ILMN_1809783	0.48640093	2.5741308	256418983	FAM25A	643161	256418983	NM_001146157
ILMN_1717197	0.49051933	2.9190107	166362738	CD3G	917	166362738	NM_000073
ILMN_1701681	0.49118477	1.1772591	808154212	SEC11C	90701	808154212	NM_033280
ILMN_2130838	0.49171663	2.2513138	156415993	UTP11	51118	156415993	NM_016037
ILMN_1725105	0.49212601	1.7266666	208879468	EEF1E1	9521	208879468	NM_004280
ILMN_1743067	0.4955962	1.5730769	289547637	ZNF701	55762	289547637	NM_018260
ILMN_1712766	0.49822499	2.4761354	50959175	ERGIC2	51290	50959175	NM_016570
ILMN_2336656	0.49848679	1.9451736	NA			NA	
ILMN_1694111	0.49929612	-1.2374801	306482638	PNKP	11284	306482638	NM_007254
ILMN_1792107	0.50185262	1.6901613	590122048	ERCC8	1161	590122048	NM_001007234
ILMN_1682857	0.50313751	2.3106899	188035920	NDUFAF2	91942	188035920	NM_174889
ILMN_1713491	0.50906236	-1.3306807	172072619	VAMP2	6844	172072619	NM_014232
ILMN_1718537	0.51639214	-1.0480782	322310373	HPS6	79803	322310373	NM_024747
ILMN_2126423	0.52034045	2.5197362	662236786	ZNF480	147657	662236786	NM_144684
ILMN_2235354	0.52396645	-1.7960312	148839375	PWWP2B	170394	148839375	NM_138499
ILMN_1681325	0.52408845	-1.3567518	71274149	CPTP	80772	71274149	NM_001029885
ILMN_1776297	0.54365409	2.8032551	289577132	GOLGA4	2803	289577132	NM_002078
ILMN_1741148	0.54675537	-1.0980049	342187194	ALDOA	226	342187194	NM_184041
ILMN_1794914	0.55219517	-1.1372199	601984518	UBTD1	80019	601984518	NM_024954
ILMN_1728435	0.55451542	1.3983583	116256457	C12orf45	121053	116256457	NM_152318
ILMN_1720114	0.55788967	1.6593462	354681981	GMNN	51053	354681981	NM_015895
ILMN_1716370	0.56850726	-1.3713074	157738638	TNS4	84951	157738638	NM_032865
ILMN_1690826	0.57065902	-1.1399495	110556635	TNKS1BP1	85456	110556635	NM_033396
ILMN_1731137	0.57124254	1.9484099	47419912	TXNDC9	10190	47419912	NM_005783
ILMN_1773849	0.57206124	-1.4089866	310832380	ATP6V0C	527	310832380	NM_001694
ILMN_1687556	0.57309798	2.1532698	217272871	DAPL1	92196	217272871	NM_001017920
ILMN_1727284	0.57405954	-2.2201584	303522473	CD4	920	303522473	NM_000616
ILMN_1805028	0.58338773	1.776021	557947995	THOC7	80145	557947995	NM_025075
ILMN_1749403	0.58936671	-1.5647882	625180305	TSPAN33	340348	625180305	NM_178562
ILMN_1766024	0.59165324	2.4337499	22538793	PDCD10	11235	22538793	NM_145860
ILMN_2232166	0.59257382	2.2931313	554790308	CCDC90B	60492	554790308	NM_021825
ILMN_1665994	0.59808139	-3.5455072	318068057	PMEL	6490	318068057	NM_006928
ILMN_1764654	0.60390047	2.2186746	256418983	FAM25A	643161	256418983	NM_001146157
ILMN_1671906	0.60404185	2.8916795	359718972	MND1	84057	359718972	NM_032117
ILMN_1732534	0.60425369	2.0124768	306966144	CHMP5	51510	306966144	NM_016410
ILMN_1783333	0.60534115	1.4583218	215490013	CMC2	56942	215490013	NM_020188
ILMN_1795344	0.60903866	2.1135232	815890942	GOLIM4	27333	815890942	NM_014498
ILMN_1753547	0.61197811	-1.3155547	221316717	STAT5A	6776	221316717	NM_003152
ILMN_1737947	0.6119895	1.3945602	195539322	LSM5	23658	195539322	NM_012322
ILMN_1727332	0.61361228	1.3773178	324072710	ATPIF1	93974	324072710	NM_016311
ILMN_1664028	0.61451579	-1.0734276	51944960	CENPB	1059	51944960	NM_001810
ILMN_2358069	0.62237308	-1.5102988	62243368	MAD1L1	8379	62243368	NM_001013836
ILMN_1715569	0.6228332	1.7023721	666875809	CCDC53	51019	666875809	NM_016053
ILMN_1753439	0.63087183	1.9732017	NA			NA	
ILMN_2290007	0.63445255	-1.3105858	862669350	NELFB	25920	862669350	NM_015456
ILMN_1702389	0.63479832	-1.0617599	155722993	ZC3H3	23144	155722993	NM_015117
ILMN_1805998	0.63565182	1.6233591	319918860	C18orf21	83608	319918860	NM_031446
ILMN_1779252	0.63612566	2.0312156	313760627	TRIM22	10346	313760627	NM_006074
ILMN_1795826	0.63882783	-1.238438	85793113	ATP6V0D1	9114	85793113	NM_004691
ILMN_1772207	0.64896253	1.6121854	NA			NA	
ILMN_1726239	0.649614	1.6988856	94421476	TBCA	6902	94421476	NM_004607
ILMN_1718079	0.65098233	1.4488053	84043951	HOXB1	3211	84043951	NM_002144
ILMN_1779356	0.65707261	-1.4902418	371502114	TP53	7157	371502114	NM_000546
ILMN_1786189	0.65948863	1.649621	222352110	NIFK	84365	222352110	NM_032390
ILMN_1802397	0.66012978	-1.2265824	574957083	GNA11	2767	574957083	NM_002067
ILMN_1726064	0.66080506	2.3372683	55769545	PAK1IP1	55003	55769545	NM_017906
ILMN_1764596	0.67181219	-1.4549901	372622377	MPST	4357	372622377	NM_001013436
ILMN_1666482	0.6862655	-1.2259708	125625356	SP2	6668	125625356	NM_003110
ILMN_1654118	0.69639946	-1.0822706	961658090	BCL2L1	598	961658090	NM_138578
ILMN_1703132	0.69957658	1.7404227	115430225	LYRM2	57226	115430225	NM_020466
ILMN_1761922	0.70100191	1.817366	NA			NA	
ILMN_1770378	0.70675601	2.023461	375493581	ANAPC10	10393	375493581	NM_014885
ILMN_1756723	0.70878688	-2.1215856	62420887	DPP7	29952	62420887	NM_013379
ILMN_1668514	0.70878688	-1.2069728	307691177	PIP5K1C	23396	307691177	NM_012398
ILMN_1789599	0.73227748	-1.0881039	323276671	NBL1	4681	323276671	NM_182744
ILMN_1812616	0.73396957	-1.1977509	124494239	MYO1C	4641	124494239	NM_033375
ILMN_1704431	0.73476484	1.8502254	NA			NA	
ILMN_2166865	0.74697851	2.0741917	302148483	ENY2	56943	302148483	NM_020189
ILMN_1710416	0.75025001	-1.4185587	685504950	HS3ST6	64711	685504950	NM_001009606
ILMN_1715555	0.78467848	-1.556052	584613504	DBP	1628	584613504	NM_001352
ILMN_1671686	0.79589429	-1.8764723	1020738758	DMTN	2039	1020738758	NM_001978
ILMN_1694325	0.80177626	-0.981363	574957202	NFIX	4784	574957202	NM_002501
ILMN_1694259	0.80312686	2.6098016	410651500	NSA2	10412	410651500	NM_014886
ILMN_1655444	0.80349968	1.7477387	NA			NA	
ILMN_1811823	0.80550669	-1.3049246	294345410	MED25	81857	294345410	NM_030973
ILMN_1768117	0.80578914	2.4052283	222080050	RBM25	58517	222080050	NM_021239
ILMN_2358277	0.81780068	2.0353655	301500650	RSRC2	65117	301500650	NM_023012
ILMN_1747935	0.82576173	1.9323075	374532818	GOLGB1	2804	374532818	NM_004487
ILMN_1679838	0.8260258	2.7376162	55743146	TCEAL9	51186	55743146	NM_001006614
ILMN_1751500	0.84105709	-1.2569601	387849002	ADAM15	8751	387849002	NM_207191
ILMN_2340052	0.84187806	-0.9514815	331284177	NCOR2	9612	331284177	NM_006312
ILMN_1697585	0.84268699	1.9258858	387528005	ACTR6	64431	387528005	NM_022496
ILMN_1681674	0.8479271	-1.7908537	NA			NA	
ILMN_2159453	0.85694337	-1.1058043	439252933	STXBP2	6813	439252933	NM_006949
ILMN_2183692	0.85855784	-1.5484955	154937347	PHYHD1	254295	154937347	NM_174933
ILMN_2312719	0.86635984	1.9399444	77812671	EXOSC9	5393	77812671	NM_001034194
ILMN_1745655	0.87347673	-1.3088291	196259808	PEX16	9409	196259808	NM_004813
ILMN_1756674	0.87580025	1.7412029	347300231	ATP5E	514	347300231	NM_006886
ILMN_1787511	0.87733018	1.760351	254553430	THUMPD2	80745	254553430	NM_025264
ILMN_1717229	0.87824198	1.9834493	63054818	AAED1	195827	63054818	NM_153698
ILMN_1675421	0.87975141	1.3518146	NA			NA	
ILMN_1768176	0.8805367	1.9805319	32306538	PBDC1	51260	32306538	NM_016500
ILMN_1793829	0.88675714	1.473496	371872751	TMCO1	54499	371872751	NM_019026
ILMN_1655694	0.89422775	-1.0931422	NA			NA	
ILMN_1755658	0.89676605	-1.8674596	29337288	ABI3	51225	29337288	NM_016428
ILMN_1688515	0.89892883	2.5158613	338827706	ZNF195	7748	338827706	NM_007152
ILMN_2339202	0.90210482	3.0752883	402478631	KTN1	3895	402478631	NM_004986
ILMN_2101375	0.90853239	1.6376534	194306656	CCDC77	84318	194306656	NM_032358
ILMN_1796180	0.90884468	-1.1153459	188536099	CRY2	1408	188536099	NM_021117
ILMN_1690706	0.91255557	1.4299466	300795278	SNRPB2	6629	300795278	NM_003092
ILMN_2248725	0.91395766	-1.3508538	441418793	TYSND1	219743	441418793	NM_173555
ILMN_1813671	0.91459969	-1.6968692	565324215	SLC25A1	6576	565324215	NM_005984
ILMN_2199298	0.92706774	-2.1408605	123173765	TPGS1	91978	123173765	NM_033513
ILMN_1677262	0.93350573	2.0646771	NA			NA	
ILMN_2044027	0.94032305	2.1134731	NA			NA	
ILMN_1659415	0.94870457	1.5848943	207028588	LAMTOR3	8649	207028588	NM_021970
ILMN_1664283	0.95416347	-1.2461161	NA			NA	
ILMN_1661174	0.97547134	2.0269381	NA			NA	
ILMN_1790460	0.97779919	-1.194641	154744869	ZNF574	64763	154744869	NM_022752
ILMN_1808769	0.98231952	3.3161942	NA			NA	
ILMN_1687384	0.98515208	2.2719049	94538326	IFI6	2537	94538326	NM_002038
ILMN_1785268	0.98696153	2.049424	221316611	CD58	965	221316611	NM_001779
ILMN_1673815	0.98940115	1.5236987	40788017	ARHGAP11A	9824	40788017	NM_199357
ILMN_1733107	1	-1.3564852	733214426	NOC4L	79050	733214426	NM_024078
ILMN_1760347	1	2.1803143	1005261257	SRGN	5552	1005261257	NM_002727
ILMN_2341952	1	1.8149707	169646175	MRPL35	51318	169646175	NM_145644
ILMN_1778144	1	-1.3847613	209862795	SLC48A1	55652	209862795	NM_017842
ILMN_1666552	1	1.6615388	692314715	ZNF75A	7627	692314715	NM_153028
ILMN_1732176	1	-1.3477682	68835055	AGPAT2	10555	68835055	NM_006412
ILMN_1712204	1	2.0261278	NA			NA	
ILMN_1726222	1	-1.3015997	94538361	FLOT2	2319	94538361	NM_004475
ILMN_1701783	1	-3.5096168	1015809739	DCT	1638	1015809739	NM_001922
ILMN_2145250	1	2.2447186	54312079	NACAP1	83955	54312079	NR_002182
ILMN_1772981	1	-1.0444825	194248096	EPN1	29924	194248096	NM_013333
ILMN_1807633	1	2.4105411	56676328	RIDA	10247	56676328	NM_005836
ILMN_2153495	1	-1.6651779	208973259	WNT7B	7477	208973259	NM_058238
ILMN_2368535	1	-1.5352227	528281409	FBXO17	115290	528281409	NM_024907
ILMN_1797005	1	-1.3345427	42794610	PGLS	25796	42794610	NM_012088
ILMN_1731546	1	2.9941017	78190467	RPL26	6154	78190467	NM_000987
ILMN_1857915	1	2.0761071	NA			NA	
ILMN_1910908	1	2.164173	13726849			13726849	BG205162
ILMN_1733859	1	-1.5228074	NA			NA	
ILMN_2205350	1	4.4361548	260314197	NDUFAF4	29078	260314197	NM_014165
ILMN_1761442	1	-1.4253228	751557615	WDR24	84219	751557615	NM_032259
ILMN_1651438	1	-1.4784319	110556643	ZFPM1	161882	110556643	NM_153813
ILMN_1771620	1	1.2048087	300795278	SNRPB2	6629	300795278	NM_003092
ILMN_1730999	1	2.5045493	114155141	TPR	7175	114155141	NM_003292
ILMN_2056479	1	1.3271585	315467836	GLRX3	10539	315467836	NM_006541
ILMN_1678052	1	-1.7113025	189339238	C19orf24	55009	189339238	NM_017914
ILMN_1663751	1	2.2875735	NA			NA	
ILMN_1653708	1	-1.3105752	65787330	CORO1B	57175	65787330	NM_020441
ILMN_1802603	1	-1.0775999	74271815	RFNG	5986	74271815	NM_002917
ILMN_1716480	1	-1.4241645	130978961	ACD	65057	130978961	NM_022914
ILMN_2175465	1	1.5974588	18491027	RSL24D1	51187	18491027	NM_016304
ILMN_1761456	1	2.1762973	1024249345	ALG13	79868	1024249345	NM_018466
ILMN_1786718	1	-1.2505414	164664491	NDUFV1	4723	164664491	NM_007103
ILMN_1706305	1	1.6039383	323276690	COX16	51241	323276690	NM_016468
ILMN_1777449	1	2.8961046	151105228	IFT74	80173	151105228	NM_025103
ILMN_1804461	1	-1.4054676	116284393	MYH14	79784	116284393	NM_024729
ILMN_1728887	1	-1.1773367	62422556	PAK4	10298	62422556	NM_001014832
ILMN_1740395	1	-1.33589	123173756	RAVER1	125950	123173756	NM_133452
ILMN_1761113	1	3.2349781	224451125	GNL2	29889	224451125	NM_013285
ILMN_1703720	1	1.6324431	54607092	SF3B6	51639	54607092	NM_016047
ILMN_2103295	1	2.394831	410651500	NSA2	10412	410651500	NM_014886
ILMN_1669308	1	-1.0505783	51173719	BRPF1	7862	51173719	NM_001003694
ILMN_1683562	1	1.6314859	953514539	SNRPG	6637	953514539	NM_003096
ILMN_2066020	1	1.1751024	325652030	TCEB1	6921	325652030	NM_005648
ILMN_1692276	1	1.3899758	NA			NA	
ILMN_1714759	1	1.1431339	467093484	CNIH4	29097	467093484	NM_014184
ILMN_1736628	1	-1.6071463	215820641	ORAI3	93129	215820641	NM_152288
ILMN_1691930	1	-1.7026074	745399112	CBX6	23466	745399112	NM_014292
ILMN_1734184	1	-1.7481841	229093315	PLBD2	196463	229093315	NM_173542
ILMN_1711853	1	-1.050302	119220576	MED24	9862	119220576	NM_014815
ILMN_1721713	1	1.8003224	77812669	EXOSC9	5393	77812669	NM_005033
ILMN_1802355	1	1.4695642	224493705	RBM18	92400	224493705	NM_033117
ILMN_1717975	1	-1.3309695	193788635	CYHR1	50626	193788635	NM_032687
ILMN_2363621	1	2.8185784	42718014	RBBP8	5932	42718014	NM_203291
ILMN_1807095	1	1.3901464	71892471	MRPS36	92259	71892471	NM_033281
ILMN_1768558	1	-1.6954178	NA			NA	
ILMN_2122176	1	2.0561652	219803771	LLPH	84298	219803771	NM_032338
ILMN_1731991	1	-1.0566844	115430240	SCYL1	57410	115430240	NM_020680
ILMN_1661683	1	-1.7402191	300116305	THRA	7067	300116305	NM_199334
ILMN_2318011	1	2.1182514	330688466	PSMA3	5684	330688466	NM_002788
ILMN_1710752	1	-1.0165138	558472820	NAPRT	93100	558472820	NM_145201
ILMN_1728224	1	-1.3004487	33286445	OGFR	11054	33286445	NM_007346
ILMN_1740938	1	-1.2193517	705044057	APOE	348	705044057	NM_000041
ILMN_1808202	1	-1.0047574	211904122	R3HDM4	91300	211904122	NM_138774
ILMN_1712320	1	1.4512205	13129005	DDX50	79009	13129005	NM_024045
ILMN_2119937	1	2.1600121	161169037	NDUFB3	4709	161169037	NM_002491
ILMN_2408987	1	-2.223539	51477703	SMARCD3	6604	51477703	NM_001003802
ILMN_1794595	1	-1.9494558	375268696	GAMT	2593	375268696	NM_000156
ILMN_1743303	1	1.2754138	543173162	TTC1	7265	543173162	NM_003314
ILMN_2094166	1	2.036755	306966144	CHMP5	51510	306966144	NM_016410
ILMN_1804851	1	1.7707639	16554613	MRPS17	51373	16554613	NM_015969
ILMN_1727805	1	-1.1619702	156630985	SYNGR1	9145	156630985	NM_004711
ILMN_1801600	1	-1.1203716	16418350	CCDC97	90324	16418350	NM_052848
ILMN_2330861	1	2.3787858	570700830	SMC4	10051	570700830	NM_001002800
ILMN_1815043	1	-1.3163855	389565494	MRPS2	51116	389565494	NM_016034
ILMN_2311537	1	-1.2832334	208431749	HMGA1	3159	208431749	NM_145899
ILMN_1668629	1	-2.5161552	NA			NA	
ILMN_2225746	1	-1.1781983	190358525	BORCS6	54785	190358525	NM_017622
ILMN_1786722	1	-1.2085486	586798128	ZNF385A	25946	586798128	NM_015481
ILMN_1658883	1	-1.0793437	371875716	ARAF	369	371875716	NM_001654
ILMN_1701724	1	-1.2744206	38570061	GET4	51608	38570061	NM_015949
ILMN_1685378	1	1.888216	NA			NA	
ILMN_2405991	1	-1.3262692	45594311	TRAF7	84231	45594311	NM_032271
ILMN_1798163	1	3.2047595	304361772	UPF3B	65109	304361772	NM_080632
ILMN_1696463	1	-2.2021223	124028516	SPI1	6688	124028516	NM_003120
ILMN_1672148	1	2.394671	223468662	AKR1B10	57016	223468662	NM_020299
ILMN_1739253	1	1.2237906	338968850	STAMBP	10617	338968850	NM_201647
ILMN_1680874	1	-2.3303421	214829951	TUBB2B	347733	214829951	NM_178012
ILMN_2305544	1	1.3723143	120433592	DBI	1622	120433592	NM_001079863
ILMN_2347798	1	2.6098024	94538329	IFI6	2537	94538329	NM_022872
ILMN_1765001	1	-1.2039172	318037384	NAT6	24142	318037384	NM_012191
ILMN_2182120	1	1.5008832	54607092	SF3B6	51639	54607092	NM_016047
ILMN_1756542	1	-1.5293595	270265905	TBC1D17	79735	270265905	NM_024682
ILMN_1789011	1	-1.9705592	1001564499	SYNGR2	9144	1001564499	NM_004710
ILMN_1716488	1	-1.2762148	351721800	PACS1	55690	351721800	NM_018026
ILMN_1812856	1	-1.1305664	254281239	ZSWIM1	90204	254281239	NM_080603
ILMN_1695829	1	-2.0011386	53988386	TTYH2	94015	53988386	NM_052869
ILMN_1780057	1	-2.8762494	213417819	RENBP	5973	213417819	NM_002910
ILMN_1751362	1	1.7807498	1015196093	FASTKD1	79675	1015196093	NM_024622
ILMN_1733746	1	2.0684021	169808395	REEP1	65055	169808395	NM_022912
ILMN_1670420	1	1.6358495	111160875	METAP2	10988	111160875	NM_006838
ILMN_1813344	1	1.6645286	260898773	NDUFAF5	79133	260898773	NM_024120
ILMN_1651429	1	-1.9379517	46370092	SELM	140606	46370092	NM_080430
ILMN_1802151	1	-0.9856806	221136763	OSBPL5	114879	221136763	NM_020896
ILMN_1684690	1	-1.2933613	227430412	HDAC11	79885	227430412	NM_024827
ILMN_1773643	1	1.0875549	385033902	SLC38A9	153129	385033902	NM_173514
ILMN_1737170	1	-0.9949581	372266125	FLII	2314	372266125	NM_002018
ILMN_2375992	1	-1.2608483	74027263	SPINT1	6692	74027263	NM_003710
ILMN_2131880	1	1.7007743	1007386460	DPY30	84661	1007386460	NM_032574
ILMN_1808999	1	-1.1390023	1046359110	ARHGEF19	128272	1046359110	NM_153213
ILMN_1775762	1	-1.2378556	543583771	GNAI2	2771	543583771	NM_002070
ILMN_1711729	1	2.1905387	NA			NA	
ILMN_1744268	1	-1.7765508	562815408	PLEC	5339	562815408	NM_201384
ILMN_1659437	1	1.3591341	153791420	TXNDC17	84817	153791420	NM_032731
ILMN_1686254	1	-1.0746369	NA			NA	
ILMN_1670782	1	-1.4999832	110624764	POU3F1	5453	110624764	NM_002699
